,CID,pW 1 vel,pW 1 vel err,pW 2 vel,pW 2 vel err,pW 3 vel,pW 3 vel err,pW 4 vel,pW 4 vel err,pW 5 vel,pW 5 vel err,pW 6 vel,pW 6 vel err,pW 7 vel,pW 7 vel err,pW 8 vel,pW 8 vel err
53,7876,,,,,13581.541099354215,294.98514118369013,18225.550318999918,1582.6774406038144,11279.507682123767,1414.221096120954,11911.338945779404,2520.5507830493952,12856.816338634406,173.44862833322725,,
54,8046,18761.92144537768,371.00371685736167,11104.280634180785,269.8964497672943,13206.9035248944,154.4562420191753,19697.674972500357,381.57804775022316,6255.967149570824,654.4145420046358,,,,,,
55,8151,,,,,5974.345651280466,32.69122004928456,,,3849.624367688733,79.64950806312966,9916.56144158103,27.319761224204363,8655.23830663976,32.027061287714446,13978.03683852054,904.71925186605
56,8719,16685.149802335956,230.51041894272163,9609.35149368101,3891.882752315085,14043.481107589663,229.7331281635621,,,,,,,,,,
57,10434,11338.302072455885,240.67855824782367,9508.801826973357,277.40725000699496,9394.744040082529,212.87786520731518,15324.801737711328,624.4977234152766,7745.876830520999,742.4317711753267,8150.956560725753,441.81979963528494,8873.075439560007,27.618883376325325,,
58,10449,13725.783701201164,199.02244614012253,8555.630966465867,523.9202112172737,10766.2453758627,350.5876635562111,15437.542315533708,2048.8146809557848,7144.076667828575,682.1149948672632,9636.808236075616,835.590472764983,9495.141587613569,103.15173288925665,,
59,10805,,,11083.304668229699,624.0411602528403,11745.243395599173,123.31365189686184,18582.44132447024,116.46700331459765,9649.187498674048,229.2802783667992,11474.089514419966,417.89696188099543,11714.890224057082,44.43132142294531,,
60,11452,,,,,8564.931315908163,258.0853782793626,17621.822352988787,2.9250805769022348,,,,,,,,
61,12860,12495.393555515422,78.60707500052669,8444.978537447658,715.9132767352643,10965.386513191734,690.6538123045327,15594.220458311065,450.42045476675867,4555.093100900686,1212.6865571818282,8707.363240257946,982.0689561669052,9319.904370265744,2811.1817581770642,,
62,12950,13146.084273339122,187.24350072857368,8790.511122815087,415.960845251477,10226.548801772873,84.41611937327944,17179.899595153027,244.580840512431,8256.887975024414,201.40408412129173,8738.802476529308,272.47131661840007,9985.30907209159,47.4392418361446,,
63,12977,14652.865962969356,96.09508552989959,,,9377.985571371917,410.88923639643576,17331.442219085726,338.17462195923315,7669.107452855187,224.44856974197307,,,9556.814551025423,45.88950577185435,,
64,13038,,,,,7765.643747450185,200.21153977769657,14168.876350210237,328.78947796352213,6117.710339096,935.7419104674085,7748.627534411372,215.02815028555992,9950.208771101818,51.88116360232117,,
65,13072,15437.058115695332,212.52113873002602,,,16942.553348079342,565.0390977700895,18163.730692778336,1284.1834573098822,6369.862948164709,745.027757723539,,,9494.491542979134,310.73474444590187,,
66,13099,12474.886334879246,306.5603447430907,9484.375057895655,462.10274011110863,9683.273532833096,610.9911699915758,15350.14318335318,162.26081285327876,7455.9873593737475,157.3710246579881,9543.689285673803,40.74743020842753,9654.47467817682,27.64971980020913,,
67,13135,15784.076971747743,109.28007798527477,8209.013181579834,101.6759138373856,7402.4912069082275,132.6525397494643,14143.354707684532,187.3829756845221,6672.862445477093,230.50091859840168,10429.39952498485,91.700733176765,9764.869278655518,36.773251297230786,,
68,13727,16702.227429924442,123.2248242737236,10251.033945674915,1471.253371360299,12421.50367182537,186.12770595843688,17027.723123049404,267.69809249457956,9441.540823026542,428.8532703081676,,,,,,
69,14024,17488.917014634106,214.62142233549642,9065.364979738957,208.25888748872362,10055.906054967903,109.63528571541971,17689.805185611614,493.94947427125015,7977.773494798409,643.0961622889845,9447.13793040308,295.76433907394727,,,,
70,14261,12960.84283842472,265.518810215077,8773.106608602264,1029.163374693443,9312.057328439263,416.22463067398735,16163.218974089406,446.2867899485011,7510.594470884423,594.7193545592197,7727.134799244679,865.6985289594162,9095.551819021783,95.70251116506658,,
71,14279,12897.924405565967,177.44318706434467,10367.889781627538,216.6756319161451,10242.809425893991,79.27057815641372,16294.172304102525,125.90727647118048,7839.614516994599,154.47105115938925,11262.857732033071,168.59244125042784,9701.111088746435,23.784008102892,,
72,14816,12639.488171422392,336.1430275189606,8449.047525883534,2624.4488684344465,8364.649455481269,96.81039459793942,,,7648.8189278507325,451.5909107490554,10994.54197309754,633.7995175503728,10297.43419031083,128.3857318689287,,
73,14846,15302.606308800945,328.4612540380575,10364.601438644002,701.8544396841384,11761.678792809436,278.9739675180456,16763.74366477842,348.6986886179946,9602.411680468935,374.83295607275625,10533.099402509886,1923.2093291489691,10889.302495556143,222.499909241929,,
74,15132,13737.590855880315,80.8976184739016,10909.825605055026,255.73140539336958,12965.096148461498,174.96617028752055,17335.9187783017,391.3847390224897,9173.421369074074,241.74451444236664,7679.786422385888,2832.3293877774354,11179.50239569792,24.45800945998927,,
75,15171,16020.83926957491,914.9214058547543,9197.727657616731,1111.431136979207,13395.106061817512,605.6792154187023,16940.76756300752,504.6405518063272,,,7988.854590441545,1130.5882000495535,10637.38108503568,80.64367782064748,,
76,15369,12319.171490458497,765.6397177384189,,,10742.278336124577,346.0694213476257,11792.073174269131,158.63842422281985,,,,,,,,
