obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,notes
2007ax,2454185.56,pW1,3641.90477561516,3952.1570017610798,13942.237333155086,0.0,66.02131703411722,120.08542973566628,0.0,5.042501940985052,1.0281709809180052e-13,0.0,8.312915777822454e-15,
2007ax,2454185.56,pW3,3952.1570017610798,4572.66145405293,15077.52418613132,0.0,104.90908748980455,220.4260188369946,0.0,3.6517834447851447,3.623837792311734e-13,0.0,9.392671309481231e-15,
2007ax,2454185.56,pW4,4572.66145405293,5247.38474198192,14834.182110741458,0.0,117.58235709641278,132.30502616628655,0.0,2.4195515811236468,1.9217251562570734e-13,0.0,4.4292021815309635e-15,
2007ax,2454185.56,pW5,5247.38474198192,5593.7828585526095,5408.550651546706,0.0,2701.405732039832,23.29691606960525,0.0,1.0113747224260754,2.6721263171618493e-14,0.0,1.2468102389060633e-15,multiple/scattered gaussians.
2007ax,2454185.56,pW6,5593.7828585526095,5894.99861209234,9410.269536303504,0.0,25.371900601856197,42.82172731083613,0.0,1.5696310863140155,4.530546564545487e-14,0.0,1.9833616727403127e-15,
2007ax,2454185.56,pW7,5894.99861209234,6422.126180786871,9271.875325333503,0.0,14.448391548518028,98.50782182897564,0.0,2.3051935112760296,9.507554804688393e-14,0.0,2.752832523243252e-15,
2007ax,2454185.56,pW8,7801.6943319988295,8554.733715848159,13897.509678723496,0.0,63.62618867794857,445.3861717224762,0.0,4.953452236549216,2.460120037024546e-13,0.0,6.6127995883654705e-15,
2007ba,2454199.74,pW1,3667.9246,3922.1437,11725.404889726855,0.0,82.84808355117217,104.79488454586377,0.0,2.689238493252293,5.9403724632276e-14,0.0,2.6042900381430182e-15,
2007ba,2454199.74,pW2,3922.1437,4063.1449,8968.326774579806,0.0,55.16313920585531,19.633063628869053,0.0,1.3681506052314056,1.1531156149228687e-14,0.0,9.839740079963534e-16,
2007ba,2454199.74,pW3,4063.1449,4538.9374,13316.914859204284,0.0,81.85997385931293,165.1240525730399,0.0,2.1449921112124843,9.100202073808034e-14,0.0,1.7903643273857305e-15,
2007ba,2454199.74,pW4,4538.9374,5230.7466,14109.721326419482,0.0,220.7217994288467,147.32426467205997,0.0,4.203572372222991,7.583692396641475e-14,0.0,2.8434858112277925e-15,
2007ba,2454199.74,pW5,5230.7466,5575.262,6769.181075800492,0.0,56.01692699433856,70.10924645417049,0.0,0.6969318796099259,2.8229369020772976e-14,0.0,3.5534270421603923e-16,
2007ba,2454199.74,pW6,5575.262,5903.802,9406.583994647968,0.0,8.816779807260824,49.3435896149791,0.0,0.8368450754726939,1.757796826444143e-14,0.0,3.5359794856595963e-16,
2007ba,2454199.74,pW7,5903.802,6334.4462,9623.652482360698,0.0,11.04772423237087,117.14775148952084,0.0,1.0086094287544438,3.9755113919201605e-14,0.0,4.702388305530682e-16,
2007ba,2454199.74,pW8,7809.0556,8558.5156,11852.966238323934,0.0,56.029975807085314,285.24144227885637,0.0,6.3052572523384685,3.871290860994965e-14,0.0,1.395034411632515e-15,
2007bc,2454199.62,pW1,3572.2332,3947.1101,13139.654785784309,0.0,81.7906920505348,120.79899639936436,0.0,3.2269071960315387,4.4603384415732427e-13,0.0,1.608404190769146e-14,
2007bc,2454199.62,pW2,3947.1101,4104.9531,8876.044814843919,0.0,40.00180329842069,23.69228509534966,0.0,0.5538971414263335,9.15600941135848e-14,0.0,2.414225056964444e-15,
2007bc,2454199.62,pW3,4104.9531,4527.7466,9780.99550844879,0.0,40.87372944033788,94.65876464464891,0.0,1.044914364585383,2.9662702621240976e-13,0.0,4.339250581903672e-15,
2007bc,2454199.62,pW4,4527.7466,5208.4448,15818.736638247043,0.0,30.66626225475596,152.91828047644074,0.0,0.9782260238969348,3.410316229713425e-13,0.0,2.8271662773881226e-15,
2007bc,2454199.62,pW5,5208.4448,5556.5449,8031.181837936248,0.0,75.1599307915196,75.64639121776929,0.0,0.7987962328776079,1.2292016524886094e-13,0.0,1.6109792637071407e-15,
2007bc,2454199.62,pW6,5611.5078,5952.5615,9484.541100068449,0.0,10.395326765298515,31.52001708160807,0.0,0.5130288647185441,4.438421118892357e-14,0.0,7.905461093955977e-16,starts and ends in the middle of plateaus
2007bc,2454199.62,pW7,5952.5615,6320.3921,9698.63490095674,0.0,4.677602172687979,101.3912438510322,0.0,0.4398137110027961,1.2958549233453212e-13,0.0,7.727699213456672e-16,
2007bc,2454199.62,pW8,7842.4492,8531.6025,11553.43907749655,0.0,54.45442070670871,162.8754657567346,0.0,3.6829834348124506,7.367330533806751e-14,0.0,2.202414473207382e-15,
2007bd,2454199.64,pW2,3900.6432,4070.2354,11216.138428489505,0.0,65.50316222133112,22.68880966506666,0.0,1.3288315276221014,2.7938729825337124e-14,0.0,1.8874406362876747e-15,feature pW1 before this exists but would overlap due to the boundary constraints. 
2007bd,2454199.64,pW3,4070.2354,4532.7597,12320.31740275475,0.0,85.63075098331333,99.1794597951374,0.0,1.8459218599456373,1.0670189082066507e-13,0.0,2.429839806996812e-15,
2007bd,2454199.64,pW4,4532.7597,5071.6705,18127.822403965165,0.0,48.2171605486442,97.32815016268248,0.0,2.6351095419767177,6.8452659526919e-14,0.0,2.393576541671027e-15,
2007bd,2454199.64,pW5,5150.1594,5565.7304,10386.83440002786,0.0,113.174003728494,85.13230377018994,0.0,1.9824447140191013,4.276228920341291e-14,0.0,1.1796759643369672e-15,dip between pW4 and pW5 not included per usual. 
2007bd,2454199.64,pW6,5622.4948,5847.4497,12242.372705401429,0.0,29.101432237378784,22.379348147522183,0.0,0.6014856021989288,9.927614317041382e-15,0.0,2.9965377831749104e-16,
2007bd,2454199.64,pW7,5847.4497,6303.6668,13098.032931398842,0.0,17.85212706260457,123.5362865421052,0.0,1.3410626550458504,5.0839438930857636e-14,0.0,7.406204230375382e-16,
2007bd,2454199.64,pW8,7675.821999999999,8651.3277,14984.436809100069,0.0,163.17923673652032,208.931680241568,0.0,9.489323973234224,3.3467015979644337e-14,0.0,1.915815754892973e-15,
2007ca,2454228.75,pW1,3599.1629,3942.9248,14110.548330295036,0.0,244.45792974031122,122.38639574512176,0.0,7.256713124082353,3.577380838126339e-13,0.0,3.2147419986191846e-14,
2007ca,2454228.75,pW2,3942.9248,4074.593400000001,9112.673202023145,0.0,876.1012936411367,13.323304956481829,0.0,0.7640522883022258,4.404569211807582e-14,0.0,2.795235802022278e-15,
2007ca,2454228.75,pW3,4074.593400000001,4516.5731,10589.387989909615,0.0,73.29427398510187,86.28603318892996,0.0,1.808631994866061,2.512373678940148e-13,0.0,6.697351075408106e-15,
2007ca,2454228.75,pW4,4516.5731,5096.6268,15357.478011991145,0.0,83.51226021426314,123.61859321226908,0.0,1.106694407989398,2.8643835438856397e-13,0.0,3.3299588222456066e-15,
2007ca,2454228.75,pW5,5193.4211,5602.6614,8696.077147296597,0.0,73.12699166125894,77.74864152856213,0.0,0.7832251986909651,1.5009207749157184e-13,0.0,1.839409740576601e-15,dip prior not included.
